Player,Team,GP,MIN,PTS,FGM,FGA,FG%
Kevin Durant,OKC,81,3122,2593,849,1688,50.3
Carmelo Anthony,NYK,77,2982,2112,743,1643,45.2
LeBron James,MIA,77,2902,2089,767,1353,56.7
Kevin Love,MIN,77,2797,2010,650,1421,45.7
Blake Griffin,LAC,80,2863,1930,718,1359,52.8
Stephen Curry,GSW,78,2846,1873,652,1383,47.1
James Harden,HOU,73,2777,1851,549,1205,45.6
DeMar DeRozan,TOR,79,3017,1791,604,1407,42.9
Paul George,IND,80,2898,1737,577,1362,42.4
Dirk Nowitzki,DAL,80,2628,1735,633,1273,49.7
Damian Lillard,POR,82,2937,1695,553,1304,42.4
DeMarcus Cousins,SAC,71,2298,1614,591,1191,49.6
LaMarcus Aldridge,POR,69,2499,1603,652,1423,45.8
Al Jefferson,CHA,73,2553,1594,700,1376,50.9
John Wall,WAS,82,2980,1583,579,1337,43.3
Monta Ellis,DAL,82,3023,1560,576,1278,45.1
Goran Dragic,PHX,76,2668,1542,552,1093,50.5
Klay Thompson,GSW,81,2868,1488,559,1259,44.4
Kyle Irving,CLE,71,2496,1478,532,1237,43
Isaiah Thomas,SAC,72,2497,1465,496,1096,45.3
Rudy Gay,SAC,73,2531,1457,537,1179,45.5
Kyle Lowry,TOR,79,2862,1417,457,1080,42.3
Thaddeus Young,PHI,79,2718,1417,582,1283,45.4
Anthony Davis,NOP,67,2358,1394,522,1005,51.9
Jeff Green,BOS,82,2805,1382,482,1171,41.2
Zach Randolph,MEM,79,2705,1372,560,1198,46.7
Wesley Matthews,POR,82,2780,1343,445,1009,44.1
Arron Afflalo,ORL,73,2552,1330,464,1011,45.9
Paul Millsap,ATL,74,2482,1328,483,1047,46.1
Jeff Teague,ATL,79,2542,1304,456,1040,43.8
Kevin Martin,MIN,68,2177,1298,440,1023,43
Dwight Howard,HOU,71,2396,1297,473,800,59.1
Gerald Green,PHX,82,2330,1295,448,1006,44.5
Brandon Knight,MIL,72,2400,1291,461,1092,42.2
Kemba Walker,CHA,73,2614,1289,449,1143,39.3
Jamal Crawford,LAC,69,2094,1282,421,1011,41.6
Chris Bosh,MIA,79,2531,1281,492,953,51.6
Josh Smith,DET,77,2730,1264,517,1233,41.9
David Lee,GSW,69,2288,1257,513,981,52.3
Mike Conley,MEM,73,2446,1256,463,1030,45
Bradley Beal,WAS,73,2530,1249,481,1149,41.9
Greg Monroe,DET,82,2690,1249,504,1015,49.7
Gordon Hayward,UTA,77,2800,1248,426,1032,41.3
Joe Johnson,BKN,79,2575,1245,462,1018,45.4
Brandon Jennings,DET,80,2728,1241,423,1135,37.3
Serge Ibaka,OKC,81,2666,1227,524,978,53.6
Chandler Parsons,HOU,74,2783,1226,466,987,47.2
Jodie Meeks,LAL,77,2556,1209,413,892,46.3
Chris Paul,LAC,62,2171,1185,406,870,46.7
Michael Carter-Williams,PHI,70,2414,1167,427,1054,40.5
Nick Young,LAL,64,1810,1144,387,889,43.5
Tony Parker,SAS,68,1997,1134,456,914,49.9
Evan Turner,IND,81,2457,1131,434,1021,42.5
Tim Duncan,SAS,74,2158,1119,444,906,49
David West,IND,80,2472,1118,458,939,48.8
Markleff Morris,PHX,81,2153,1115,411,845,48.6
Dion Walters,CLE,70,2072,1113,430,993,43.4
Trevor Ariza,WAS,77,2723,1107,389,853,45.6
Victor Oladipo,ORL,80,2487,1106,392,936,41.9
Kenneth Faried,DEN,80,2178,1096,447,820,54.5
